148.251.223.21 - - [14/Aug/2019:17:32:12 +0300] "GET /2017/06/07/ HTTP/1.1" 200 9519 "https://dbadmins.ru/" "Mozilla/5.0 (compatible; openstat.ru/Bot)"rt=0.242 uct="0.000" uht="0.188" urt="0.242"
148.251.223.21 - - [14/Aug/2019:17:32:25 +0300] "GET /2017/08/03/%D0%BC%D0%BE%D0%BD%D0%B8%D1%82%D0%BE%D1%80%D0%B8%D0%BD%D0%B3-%D1%81-%D0%BF%D0%BE%D0%BC%D0%BE%D1%89%D1%8C%D1%8E-sysstat/ HTTP/1.1" 200 11371 "https://dbadmins.ru/" "Mozilla/5.0 (compatible; openstat.ru/Bot)"rt=0.259 uct="0.000" uht="0.198" urt="0.259"
148.251.223.21 - - [14/Aug/2019:17:32:46 +0300] "GET /web-server-%D0%BF%D0%BE%D0%B4-%D0%BA%D0%BB%D1%8E%D1%87/ HTTP/1.1" 200 9448 "https://dbadmins.ru/" "Mozilla/5.0 (compatible; openstat.ru/Bot)"rt=0.237 uct="0.000" uht="0.184" urt="0.237"
148.251.223.21 - - [14/Aug/2019:17:32:59 +0300] "GET /2017/08/03/ora-00600-internal-error-code-arguments-k2gteget-pdbid-%D0%B2-oracle-12-0-1/ HTTP/1.1" 200 10375 "https://dbadmins.ru/" "Mozilla/5.0 (compatible; openstat.ru/Bot)"rt=0.249 uct="0.000" uht="0.189" urt="0.249"
148.251.223.21 - - [14/Aug/2019:17:33:11 +0300] "GET /2017/05/19/%D0%BE%D0%B1%D0%BD%D0%B0%D1%80%D1%83%D0%B6%D0%B5%D0%BD%D0%B8%D0%B5-%D0%BD%D0%BE%D0%B2%D1%8B%D1%85-scsi-%D1%83%D1%81%D1%82%D1%80%D0%BE%D0%B9%D1%81%D1%82%D0%B2-%D1%80%D0%B0%D1%81%D1%88%D0%B8%D1%80/ HTTP/1.1" 200 10780 "https://dbadmins.ru/" "Mozilla/5.0 (compatible; openstat.ru/Bot)"rt=0.249 uct="0.000" uht="0.192" urt="0.249"
148.251.223.21 - - [14/Aug/2019:17:33:23 +0300] "GET /category/%D0%97%D0%B0%D0%BF%D0%B8%D1%81%D0%BA%D0%B8-%D0%B0%D0%B4%D0%BC%D0%B8%D0%BD%D0%B0/ HTTP/1.1" 200 13380 "https://dbadmins.ru/" "Mozilla/5.0 (compatible; openstat.ru/Bot)"rt=0.280 uct="0.000" uht="0.191" urt="0.280"
148.251.223.21 - - [14/Aug/2019:17:33:34 +0300] "GET /author/greed/ HTTP/1.1" 200 11743 "https://dbadmins.ru/" "Mozilla/5.0 (compatible; openstat.ru/Bot)"rt=0.276 uct="0.000" uht="0.197" urt="0.276"
148.251.223.21 - - [14/Aug/2019:17:33:46 +0300] "GET /author/admin/ HTTP/1.1" 200 13837 "https://dbadmins.ru/" "Mozilla/5.0 (compatible; openstat.ru/Bot)"rt=0.290 uct="0.000" uht="0.194" urt="0.290"
61.219.11.153 - - [14/Aug/2019:17:33:54 +0300] "\x01A\x02\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00" 400 173 "-" "-"rt=0.283 uct="-" uht="-" urt="-"
148.251.223.21 - - [14/Aug/2019:17:34:07 +0300] "GET /2017/05/19/%D0%BC%D0%BE%D0%BD%D0%B8%D1%82%D0%BE%D1%80%D0%B8%D0%BD%D0%B3-%D0%B1%D1%8D%D0%BA%D0%B0%D0%BF%D0%BE%D0%B2/ HTTP/1.1" 200 10671 "https://dbadmins.ru/" "Mozilla/5.0 (compatible; openstat.ru/Bot)"rt=0.304 uct="0.000" uht="0.244" urt="0.304"
148.251.223.21 - - [14/Aug/2019:17:34:19 +0300] "GET /2017/05/19/ HTTP/1.1" 200 10290 "https://dbadmins.ru/" "Mozilla/5.0 (compatible; openstat.ru/Bot)"rt=0.244 uct="0.000" uht="0.182" urt="0.244"
148.251.223.21 - - [14/Aug/2019:17:34:29 +0300] "GET /2017/09/28/%D0%BF%D1%80%D0%BE%D0%B1%D0%BB%D0%B5%D0%BC%D0%B0-%D1%81-data-pump-%D0%BD%D0%B0-pdb/ HTTP/1.1" 200 11729 "https://dbadmins.ru/" "Mozilla/5.0 (compatible; openstat.ru/Bot)"rt=0.247 uct="0.000" uht="0.188" urt="0.247"
148.251.223.21 - - [14/Aug/2019:17:34:36 +0300] "GET /2017/11/01/ HTTP/1.1" 200 9286 "https://dbadmins.ru/" "Mozilla/5.0 (compatible; openstat.ru/Bot)"rt=0.253 uct="0.000" uht="0.196" urt="0.253"
